Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Term_Months,Monthly_EMI,Branch_ID,Loan_Application_Date,Approval_Status
LOAN-10001,CUST-1225,Home Loan,161000.0,7.0,240,1248.23,BR-04,2023-10-03,Approved
LOAN-10002,CUST-1520,Personal Loan,30000.0,10.5,60,644.82,BR-02,2023-11-17,Rejected
LOAN-10003,CUST-2227,Education Loan,37000.0,7.5,120,439.2,BR-10,2023-12-31,Approved
LOAN-10004,CUST-1508,Auto Loan,33000.0,6.0,72,546.91,BR-07,2023-09-18,Rejected
LOAN-10005,CUST-3708,Personal Loan,31000.0,11.5,36,1022.26,BR-01,2023-03-14,Rejected
LOAN-10006,CUST-3685,Business Loan,142000.0,9.5,48,3567.49,BR-02,2024-04-01,Approved
LOAN-10007,CUST-3531,Personal Loan,34000.0,11.5,60,747.75,BR-05,2023-04-13,Rejected
LOAN-10008,CUST-2825,Business Loan,145000.0,11.0,36,4747.11,BR-04,2023-11-23,Approved
LOAN-10009,CUST-3106,Auto Loan,17000.0,6.0,48,399.25,BR-07,2023-01-31,Rejected
LOAN-10010,CUST-1117,Personal Loan,22000.0,10.5,60,472.87,BR-02,2025-05-04,Approved
LOAN-10011,CUST-2082,Home Loan,330000.0,7.0,120,3831.58,BR-08,2023-11-24,Approved
LOAN-10012,CUST-1537,Home Loan,382000.0,10.5,360,3494.3,BR-03,2023-09-13,Approved
LOAN-10013,CUST-1196,Home Loan,199000.0,7.0,120,2310.56,BR-07,2024-01-12,Rejected
LOAN-10014,CUST-1502,Home Loan,246000.0,6.0,360,1474.89,BR-09,2023-04-12,Rejected
LOAN-10015,CUST-1913,Education Loan,42000.0,7.5,84,644.21,BR-02,2024-06-15,Approved
LOAN-10016,CUST-3976,Education Loan,12000.0,7.5,120,142.44,BR-06,2023-01-25,Rejected
LOAN-10017,CUST-1523,Home Loan,170000.0,7.0,180,1528.01,BR-05,2023-08-27,Approved
LOAN-10018,CUST-3301,Education Loan,14000.0,7.5,60,280.53,BR-09,2023-03-01,Approved
LOAN-10019,CUST-3725,Auto Loan,19000.0,7.5,36,591.02,BR-02,2023-01-02,Approved
LOAN-10020,CUST-1111,Auto Loan,22000.0,6.0,48,516.67,BR-09,2023-07-24,Approved
LOAN-10021,CUST-2557,Personal Loan,11000.0,10.5,36,357.53,BR-10,2023-01-07,Approved
LOAN-10022,CUST-2514,Personal Loan,8000.0,10.5,60,171.95,BR-05,2023-01-28,Rejected
LOAN-10023,CUST-1118,Home Loan,159000.0,7.0,240,1232.73,BR-09,2023-04-29,Approved
LOAN-10024,CUST-1871,Home Loan,146000.0,7.0,240,1131.94,BR-09,2023-02-20,Approved
LOAN-10025,CUST-3084,Personal Loan,11000.0,13.0,24,522.96,BR-08,2023-02-08,Approved
LOAN-10026,CUST-3985,Personal Loan,8000.0,15.0,48,222.65,BR-05,2024-01-23,Approved
LOAN-10027,CUST-2982,Business Loan,85000.0,11.0,48,2196.87,BR-10,2024-10-02,Rejected
LOAN-10028,CUST-3444,Home Loan,282000.0,6.0,120,3130.78,BR-10,2023-04-12,Approved
LOAN-10029,CUST-1817,Home Loan,378000.0,7.0,180,3397.57,BR-09,2024-02-23,Rejected
LOAN-10030,CUST-1445,Home Loan,121000.0,8.5,360,930.39,BR-05,2023-10-10,Approved
LOAN-10031,CUST-1388,Home Loan,278000.0,6.0,360,1666.75,BR-01,2024-04-09,Rejected
LOAN-10032,CUST-1779,Home Loan,406000.0,8.5,360,3121.79,BR-06,2023-04-11,Rejected
