Transaction_ID,Loan_ID,Transaction_Date,Amount,Transaction_Type
TX-800001,LOAN-10001,2023-11-09,1248.23,Payment
TX-800002,LOAN-10001,2023-12-09,1248.23,Payment
TX-800003,LOAN-10001,2024-01-08,1248.23,Payment
TX-800004,LOAN-10001,2024-02-07,1248.23,Payment
TX-800005,LOAN-10001,2024-03-08,1248.23,Payment
TX-800006,LOAN-10001,2024-04-07,1248.23,Payment
TX-800007,LOAN-10001,2024-05-07,1248.23,Payment
TX-800008,LOAN-10001,2024-06-06,1248.23,Payment
TX-800009,LOAN-10001,2024-07-06,1248.23,Payment
TX-800010,LOAN-10001,2024-08-05,1248.23,Payment
TX-800011,LOAN-10003,2024-02-06,439.2,Payment
TX-800012,LOAN-10003,2024-03-07,439.2,Payment
TX-800013,LOAN-10003,2024-04-06,439.2,Payment
TX-800014,LOAN-10003,2024-05-06,439.2,Payment
TX-800015,LOAN-10003,2024-06-05,439.2,Payment
TX-800016,LOAN-10003,2024-07-05,439.2,Payment
TX-800017,LOAN-10003,2024-08-04,439.2,Payment
TX-800018,LOAN-10003,2024-09-03,439.2,Payment
TX-800019,LOAN-10003,2024-10-03,439.2,Payment
TX-800020,LOAN-10003,2024-11-02,439.2,Payment
TX-800021,LOAN-10003,2024-12-02,439.2,Payment
TX-800022,LOAN-10003,2025-01-01,439.2,Payment
TX-800023,LOAN-10003,2025-01-31,439.2,Payment
TX-800024,LOAN-10003,2025-03-02,439.2,Payment
TX-800025,LOAN-10003,2025-04-01,439.2,Payment
TX-800026,LOAN-10003,2025-05-01,439.2,Payment
TX-800027,LOAN-10003,2025-05-31,439.2,Payment
TX-800028,LOAN-10003,2025-06-30,439.2,Payment
TX-800029,LOAN-10003,2025-07-30,439.2,Payment
TX-800030,LOAN-10003,2025-08-29,439.2,Payment
TX-800031,LOAN-10003,2025-09-28,439.2,Payment
TX-800032,LOAN-10003,2025-10-28,439.2,Payment
TX-800033,LOAN-10003,2025-11-27,439.2,Payment
TX-800034,LOAN-10003,2025-12-27,439.2,Payment
TX-800035,LOAN-10003,2026-01-26,439.2,Payment
TX-800036,LOAN-10003,2026-02-25,439.2,Payment
TX-800037,LOAN-10003,2026-03-27,439.2,Payment
TX-800038,LOAN-10003,2026-04-26,439.2,Payment
TX-800039,LOAN-10003,2026-05-26,439.2,Payment
