customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8196-BACGH,Female,No,No,No,57,Yes,DSL,One year,Bank transfer (automatic),55.38,3131.55,No
5594-ZBXOR,Female,No,No,Yes,22,Yes,DSL,Month-to-month,Electronic check,67.61,1492.22,No
1316-IOULF,Male,No,No,No,40,Yes,Fiber optic,One year,Mailed check,109.74,4405.81,No
0305-MICGS,Male,No,No,No,59,Yes,No,Two year,Credit card (automatic),22.69,1349.36,No
3287-CYBDE,Female,No,No,No,19,Yes,No,Month-to-month,Electronic check,24.3,463.36,Yes
8451-JNFOA,Male,No,Yes,Yes,22,Yes,DSL,Month-to-month,Mailed check,53.82,1184.97,No
8095-PADLZ,Male,No,Yes,No,48,Yes,No,Two year,Mailed check,23.83,1147.49,No
2489-NGRYX,Female,No,No,No,37,Yes,DSL,One year,Electronic check,51.6,1912.57,No
3010-HCBKC,Female,No,No,No,13,Yes,DSL,Month-to-month,Credit card (automatic),52.36,678.7,No
0106-XKZDH,Female,No,No,No,12,Yes,No,Month-to-month,Electronic check,20.49,248.19,No
3267-PGMBF,Male,Yes,No,No,58,No,No,Two year,Credit card (automatic),23.31,1342.65,No
0980-XKBBS,Male,No,Yes,Yes,1,Yes,No,Month-to-month,Electronic check,21.23,21.28,Yes
9985-IGVWK,Female,No,Yes,No,7,Yes,Fiber optic,Month-to-month,Electronic check,100.53,697.7,Yes
4251-HLJFO,Male,No,Yes,No,48,Yes,No,One year,Bank transfer (automatic),22.77,1088.19,No
5348-PIBCU,Male,No,Yes,Yes,62,Yes,No,Two year,Electronic check,23.53,1447.54,No
2805-SRENE,Female,No,Yes,No,5,Yes,Fiber optic,Month-to-month,Mailed check,109.35,551.41,Yes
2260-FXKZN,Female,No,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Mailed check,92.63,1197.52,No
6541-YILUQ,Male,No,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,95.91,191.38,Yes
4060-QZRVX,Female,No,Yes,No,65,Yes,Fiber optic,Two year,Credit card (automatic),97.68,6327.13,No
8236-VMVXF,Male,No,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Mailed check,96.05,4131.07,No
2148-VUTKC,Female,No,Yes,No,1,Yes,DSL,Month-to-month,Mailed check,61.39,61.66,Yes
6320-YYDYN,Female,No,No,Yes,46,No,No,Month-to-month,Credit card (automatic),21.59,995.38,No
8687-FXPOI,Female,No,No,No,22,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),90.86,1991.71,Yes
2236-WEWGC,Male,No,No,No,10,Yes,No,Month-to-month,Credit card (automatic),20.1,200.91,No
4668-XXRZT,Female,No,No,No,8,Yes,DSL,Month-to-month,Mailed check,71.01,573.54,No
6990-CUNEO,Female,Yes,No,No,8,Yes,Fiber optic,Month-to-month,Electronic check,91.31,730.05,Yes
0531-YUBYA,Female,No,Yes,No,13,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),102.49,1323.52,No
1241-SAJSV,Male,No,Yes,Yes,42,Yes,No,One year,Electronic check,23.0,971.72,No
0586-VLCQU,Male,Yes,No,No,54,Yes,No,Month-to-month,Bank transfer (automatic),22.61,1223.77,No
7769-IKHCI,Male,No,No,No,34,Yes,Fiber optic,One year,Bank transfer (automatic),90.3,3060.4,No
4808-GCHXN,Male,No,Yes,No,39,Yes,DSL,One year,Mailed check,60.11,2335.2,No
7885-NXRKL,Male,No,No,No,27,No,No,One year,Mailed check,20.93,567.81,No
9894-DGJHL,Female,No,Yes,Yes,62,Yes,Fiber optic,Two year,Electronic check,87.56,5436.76,No
7520-IPDCM,Male,Yes,Yes,Yes,52,Yes,No,Two year,Mailed check,23.95,1252.27,No
7496-JSTBT,Female,No,Yes,No,1,Yes,DSL,Month-to-month,Credit card (automatic),50.07,50.26,No
0344-WOCVH,Male,No,Yes,Yes,24,Yes,DSL,Month-to-month,Bank transfer (automatic),51.49,1238.11,No
