customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8196-BACGH,Female,0,No,No,57,Yes,DSL,One year,Bank transfer (automatic),55.38,3131.55,No
5594-ZBXOR,Female,0,No,Yes,22,Yes,DSL,Month-to-month,Electronic check,67.61,1492.22,No
1316-IOULF,Male,0,No,No,40,Yes,Fiber optic,One year,Mailed check,109.74,4405.81,No
0305-MICGS,Male,0,No,No,59,Yes,No,Two year,Credit card (automatic),22.69,1349.36,No
3287-CYBDE,Female,0,No,No,19,Yes,No,Month-to-month,Electronic check,24.3,463.36,Yes
8451-JNFOA,Male,0,Yes,Yes,22,Yes,DSL,Month-to-month,Mailed check,53.82,1184.97,No
8095-PADLZ,Male,0,Yes,No,48,Yes,No,Two year,Mailed check,23.83,1147.49,No
2489-NGRYX,Female,0,No,No,37,Yes,DSL,One year,Electronic check,51.6,1912.57,No
3010-HCBKC,Female,0,No,No,13,Yes,DSL,Month-to-month,Credit card (automatic),52.36,678.7,No
0106-XKZDH,Female,0,No,No,12,Yes,No,Month-to-month,Electronic check,20.49,248.19,No
3267-PGMBF,Male,1,No,No,58,No,No,Two year,Credit card (automatic),23.31,1342.65,No
0980-XKBBS,Male,0,Yes,Yes,1,Yes,No,Month-to-month,Electronic check,21.23,21.28,Yes
9985-IGVWK,Female,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Electronic check,100.53,697.7,Yes
4251-HLJFO,Male,0,Yes,No,48,Yes,No,One year,Bank transfer (automatic),22.77,1088.19,No
5348-PIBCU,Male,0,Yes,Yes,62,Yes,No,Two year,Electronic check,23.53,1447.54,No
2805-SRENE,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Mailed check,109.35,551.41,Yes
2260-FXKZN,Female,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Mailed check,92.63,1197.52,No
6541-YILUQ,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,95.91,191.38,Yes
4060-QZRVX,Female,0,Yes,No,65,Yes,Fiber optic,Two year,Credit card (automatic),97.68,6327.13,No
8236-VMVXF,Male,0,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Mailed check,96.05,4131.07,No
2148-VUTKC,Female,0,Yes,No,1,Yes,DSL,Month-to-month,Mailed check,61.39,61.66,Yes
6320-YYDYN,Female,0,No,Yes,46,No,No,Month-to-month,Credit card (automatic),21.59,995.38,No
8687-FXPOI,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),90.86,1991.71,Yes
2236-WEWGC,Male,0,No,No,10,Yes,No,Month-to-month,Credit card (automatic),20.1,200.91,No
4668-XXRZT,Female,0,No,No,8,Yes,DSL,Month-to-month,Mailed check,71.01,573.54,No
6990-CUNEO,Female,1,No,No,8,Yes,Fiber optic,Month-to-month,Electronic check,91.31,730.05,Yes
0531-YUBYA,Female,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),102.49,1323.52,No
1241-SAJSV,Male,0,Yes,Yes,42,Yes,No,One year,Electronic check,23.0,971.72,No
0586-VLCQU,Male,1,No,No,54,Yes,No,Month-to-month,Bank transfer (automatic),22.61,1223.77,No
7769-IKHCI,Male,0,No,No,34,Yes,Fiber optic,One year,Bank transfer (automatic),90.3,3060.4,No
4808-GCHXN,Male,0,Yes,No,39,Yes,DSL,One year,Mailed check,60.11,2335.2,No
7885-NXRKL,Male,0,No,No,27,No,No,One year,Mailed check,20.93,567.81,No
9894-DGJHL,Female,0,Yes,Yes,62,Yes,Fiber optic,Two year,Electronic check,87.56,5436.76,No
7520-IPDCM,Male,1,Yes,Yes,52,Yes,No,Two year,Mailed check,23.95,1252.27,No
7496-JSTBT,Female,0,Yes,No,1,Yes,DSL,Month-to-month,Credit card (automatic),50.07,50.26,No
0344-WOCVH,Male,0,Yes,Yes,24,Yes,DSL,Month-to-month,Bank transfer (automatic),51.49,1238.11,No
4717-WJWMI,Male,0,Yes,No,41,Yes,No,One year,Electronic check,24.18,1001.29,No
4902-PQUOI,Female,0,No,No,2,Yes,No,Month-to-month,Mailed check,20.52,40.9,No
4680-OCKIK,Female,0,No,No,59,Yes,No,Two year,Credit card (automatic),23.78,1410.32,No
8247-WPDAU,Female,0,No,No,53,Yes,DSL,One year,Bank transfer (automatic),62.46,3310.97,No
7737-REMGT,Female,0,No,No,49,Yes,DSL,Two year,Bank transfer (automatic),57.07,2815.3,No
