customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnRiskScore,RiskTier,RiskColor,CustomerSegments,CustomerPersona
8196-BACGH,Female,No,No,No,57,Yes,DSL,One year,Bank transfer (automatic),55.38,3131.55,No,10,Low,#00F5D4,Loyal,Loyal Long-Term User
5594-ZBXOR,Female,No,No,Yes,22,Yes,DSL,Month-to-month,Electronic check,67.61,1492.22,No,68,High,#FF007F,High-Risk,General Subscriber
1316-IOULF,Male,No,No,No,40,Yes,Fiber optic,One year,Mailed check,109.74,4405.81,No,45,Medium,#FFD700,Premium,General Subscriber
0305-MICGS,Male,No,No,No,59,Yes,No,Two year,Credit card (automatic),22.69,1349.36,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
8451-JNFOA,Male,No,Yes,Yes,22,Yes,DSL,Month-to-month,Mailed check,53.82,1184.97,No,45,Medium,#FFD700,Standard,General Subscriber
8095-PADLZ,Male,No,Yes,No,48,Yes,No,Two year,Mailed check,23.83,1147.49,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
2489-NGRYX,Female,No,No,No,37,Yes,DSL,One year,Electronic check,51.6,1912.57,No,35,Medium,#FFD700,Standard,General Subscriber
3010-HCBKC,Female,No,No,No,13,Yes,DSL,Month-to-month,Credit card (automatic),52.36,678.7,No,50,Medium,#FFD700,Standard,General Subscriber
0106-XKZDH,Female,No,No,No,12,Yes,No,Month-to-month,Electronic check,20.49,248.19,No,50,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
3267-PGMBF,Male,Yes,No,No,58,No,No,Two year,Credit card (automatic),23.31,1342.65,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
4251-HLJFO,Male,No,Yes,No,48,Yes,No,One year,Bank transfer (automatic),22.77,1088.19,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
5348-PIBCU,Male,No,Yes,Yes,62,Yes,No,Two year,Electronic check,23.53,1447.54,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
2260-FXKZN,Female,No,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Mailed check,92.63,1197.52,No,70,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
4060-QZRVX,Female,No,Yes,No,65,Yes,Fiber optic,Two year,Credit card (automatic),97.68,6327.13,No,20,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
8236-VMVXF,Male,No,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Mailed check,96.05,4131.07,No,65,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
6320-YYDYN,Female,No,No,Yes,46,No,No,Month-to-month,Credit card (automatic),21.59,995.38,No,25,Low,#00F5D4,Budget,General Subscriber
2236-WEWGC,Male,No,No,No,10,Yes,No,Month-to-month,Credit card (automatic),20.1,200.91,No,45,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
4668-XXRZT,Female,No,No,No,8,Yes,DSL,Month-to-month,Mailed check,71.01,573.54,No,68,High,#FF007F,"High-Risk, Short-Term",General Subscriber
0531-YUBYA,Female,No,Yes,No,13,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),102.49,1323.52,No,70,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
1241-SAJSV,Male,No,Yes,Yes,42,Yes,No,One year,Electronic check,23.0,971.72,No,15,Low,#00F5D4,Budget,General Subscriber
0586-VLCQU,Male,Yes,No,No,54,Yes,No,Month-to-month,Bank transfer (automatic),22.61,1223.77,No,25,Low,#00F5D4,"Loyal, Budget",General Subscriber
7769-IKHCI,Male,No,No,No,34,Yes,Fiber optic,One year,Bank transfer (automatic),90.3,3060.4,No,50,Medium,#FFD700,Premium,General Subscriber
4808-GCHXN,Male,No,Yes,No,39,Yes,DSL,One year,Mailed check,60.11,2335.2,No,23,Low,#00F5D4,Standard,General Subscriber
7885-NXRKL,Male,No,No,No,27,No,No,One year,Mailed check,20.93,567.81,No,10,Low,#00F5D4,Budget,General Subscriber
9894-DGJHL,Female,No,Yes,Yes,62,Yes,Fiber optic,Two year,Electronic check,87.56,5436.76,No,35,Medium,#FFD700,Loyal,General Subscriber
7520-IPDCM,Male,Yes,Yes,Yes,52,Yes,No,Two year,Mailed check,23.95,1252.27,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
7496-JSTBT,Female,No,Yes,No,1,Yes,DSL,Month-to-month,Credit card (automatic),50.07,50.26,No,65,High,#FF007F,"High-Risk, Short-Term",General Subscriber
0344-WOCVH,Male,No,Yes,Yes,24,Yes,DSL,Month-to-month,Bank transfer (automatic),51.49,1238.11,No,45,Medium,#FFD700,Standard,General Subscriber
4717-WJWMI,Male,No,Yes,No,41,Yes,No,One year,Electronic check,24.18,1001.29,No,15,Low,#00F5D4,Budget,General Subscriber
4902-PQUOI,Female,No,No,No,2,Yes,No,Month-to-month,Mailed check,20.52,40.9,No,55,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
4680-OCKIK,Female,No,No,No,59,Yes,No,Two year,Credit card (automatic),23.78,1410.32,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
8247-WPDAU,Female,No,No,No,53,Yes,DSL,One year,Bank transfer (automatic),62.46,3310.97,No,18,Low,#00F5D4,Loyal,Loyal Long-Term User
7737-REMGT,Female,No,No,No,49,Yes,DSL,Two year,Bank transfer (automatic),57.07,2815.3,No,0,Low,#00F5D4,Loyal,Loyal Long-Term User
7278-PLKRY,Male,No,No,No,54,Yes,Fiber optic,Two year,Credit card (automatic),86.09,4667.94,No,25,Low,#00F5D4,Loyal,Loyal Long-Term User
6270-EQSKD,Male,Yes,No,Yes,72,Yes,Fiber optic,Month-to-month,Credit card (automatic),93.46,6749.29,No,60,High,#FF007F,"Loyal, High-Risk, Premium",High-Value Churn-Risk
8657-RBTCH,Male,No,Yes,Yes,22,Yes,No,Month-to-month,Electronic check,21.5,468.71,No,45,Medium,#FFD700,Budget,General Subscriber
4556-EHQNS,Female,No,Yes,No,27,Yes,DSL,Month-to-month,Bank transfer (automatic),61.53,1659.97,No,53,Medium,#FFD700,Standard,General Subscriber
6409-VYXBT,Male,No,No,No,4,Yes,No,Month-to-month,Mailed check,23.4,93.84,No,55,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
