Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Profit
ITEM-100001,ORD-10001,PROD-1483,3,327.84,0.0,983.52,792.72,190.8
ITEM-100002,ORD-10001,PROD-1295,2,149.46,0.1,269.03,172.52,96.51
ITEM-100003,ORD-10001,PROD-1309,1,769.44,0.1,692.5,510.07,182.43
ITEM-100004,ORD-10001,PROD-1349,2,167.64,0.0,335.28,247.46,87.82
ITEM-100005,ORD-10002,PROD-1408,2,77.67,0.05,147.57,126.28,21.29
ITEM-100006,ORD-10002,PROD-1412,1,160.36,0.2,128.29,83.12,45.17
ITEM-100007,ORD-10002,PROD-1341,1,51.06,0.15,43.4,35.2,8.2
ITEM-100008,ORD-10003,PROD-1124,1,747.41,0.0,747.41,504.77,242.64
ITEM-100009,ORD-10004,PROD-1292,2,474.96,0.2,759.94,801.56,-41.62
ITEM-100010,ORD-10004,PROD-1075,2,42.17,0.0,84.34,46.38,37.96
ITEM-100011,ORD-10005,PROD-1391,2,719.44,0.0,1438.88,842.06,596.82
ITEM-100012,ORD-10005,PROD-1039,1,118.77,0.0,118.77,97.39,21.38
ITEM-100013,ORD-10005,PROD-1136,1,432.12,0.0,432.12,291.16,140.96
ITEM-100014,ORD-10006,PROD-1331,1,205.56,0.2,164.45,154.4,10.05
ITEM-100015,ORD-10007,PROD-1094,1,400.18,0.0,400.18,225.14,175.04
ITEM-100016,ORD-10007,PROD-1229,4,366.16,0.0,1464.64,790.36,674.28
ITEM-100017,ORD-10008,PROD-1288,1,588.49,0.0,588.49,294.93,293.56
ITEM-100018,ORD-10008,PROD-1323,1,113.75,0.15,96.69,91.43,5.26
ITEM-100019,ORD-10008,PROD-1199,4,775.88,0.1,2793.17,2491.92,301.25
ITEM-100020,ORD-10008,PROD-1212,4,510.67,0.0,2042.68,1670.4,372.28
ITEM-100021,ORD-10009,PROD-1025,3,868.97,0.0,2606.91,1824.84,782.07
ITEM-100022,ORD-10010,PROD-1186,1,228.73,0.0,228.73,178.91,49.82
ITEM-100023,ORD-10011,PROD-1429,2,665.17,0.1,1197.31,878.06,319.25
ITEM-100024,ORD-10011,PROD-1406,3,348.28,0.0,1044.84,847.62,197.22
ITEM-100025,ORD-10011,PROD-1202,2,265.71,0.0,531.42,372.43,158.99
ITEM-100026,ORD-10011,PROD-1362,2,195.39,0.1,351.7,341.56,10.14
ITEM-100027,ORD-10012,PROD-1108,2,713.1,0.0,1426.2,952.37,473.83
ITEM-100028,ORD-10012,PROD-1218,1,716.18,0.0,716.18,600.22,115.96
ITEM-100029,ORD-10012,PROD-1074,1,43.83,0.3,30.68,26.04,4.64
ITEM-100030,ORD-10013,PROD-1103,1,744.71,0.2,595.77,421.97,173.8
ITEM-100031,ORD-10013,PROD-1112,4,675.2,0.2,2160.64,1656.89,503.75
ITEM-100032,ORD-10013,PROD-1402,2,142.73,0.15,242.64,233.67,8.97
ITEM-100033,ORD-10013,PROD-1373,1,566.7,0.3,396.69,349.26,47.43
ITEM-100034,ORD-10014,PROD-1379,3,285.37,0.1,770.5,475.77,294.73
ITEM-100035,ORD-10015,PROD-1019,3,56.81,0.3,119.3,101.25,18.05
ITEM-100036,ORD-10015,PROD-1254,3,242.63,0.15,618.71,654.03,-35.32
ITEM-100037,ORD-10016,PROD-1106,2,212.4,0.1,382.32,303.32,79.0
ITEM-100038,ORD-10016,PROD-1265,1,317.54,0.0,317.54,190.86,126.68
ITEM-100039,ORD-10017,PROD-1388,2,388.55,0.0,777.1,427.16,349.94
ITEM-100040,ORD-10017,PROD-1484,3,468.19,0.0,1404.57,1056.56,348.01
ITEM-100041,ORD-10018,PROD-1396,2,458.18,0.0,916.36,540.46,375.9
ITEM-100042,ORD-10019,PROD-1069,2,54.12,0.3,75.77,64.3,11.47
ITEM-100043,ORD-10019,PROD-1328,2,623.51,0.3,872.91,1036.78,-163.87
ITEM-100044,ORD-10020,PROD-1248,1,665.87,0.1,599.28,425.5,173.78
ITEM-100045,ORD-10021,PROD-1491,4,313.23,0.1,1127.63,877.24,250.39
ITEM-100046,ORD-10022,PROD-1393,1,235.05,0.05,223.3,142.8,80.5
ITEM-100047,ORD-10022,PROD-1323,2,113.75,0.0,227.5,182.86,44.64
ITEM-100048,ORD-10022,PROD-1237,2,150.65,0.0,301.3,252.0,49.3
ITEM-100049,ORD-10022,PROD-1094,1,400.18,0.0,400.18,225.14,175.04
