Order_ID,Customer_ID,Region_ID,State,City,Order_Date,Ship_Date,Ship_Mode
ORD-10001,CUST-1044,REG-02,Arizona,Phoenix,2024-01-06,2024-01-07,First Class
ORD-10002,CUST-2200,REG-04,Indiana,Indianapolis,2024-07-15,2024-07-22,Standard Class
ORD-10003,CUST-1498,REG-01,Pennsylvania,Philadelphia,2025-02-23,2025-02-28,Standard Class
ORD-10004,CUST-1715,REG-01,Pennsylvania,Philadelphia,2024-05-17,2024-05-23,Standard Class
ORD-10005,CUST-1210,REG-02,Arizona,Phoenix,2026-02-02,2026-02-04,First Class
ORD-10006,CUST-2765,REG-03,North Carolina,Charlotte,2025-09-17,2025-09-24,Standard Class
ORD-10007,CUST-2674,REG-01,Pennsylvania,Philadelphia,2026-05-11,2026-05-17,Standard Class
ORD-10008,CUST-2717,REG-02,Oregon,Portland,2024-06-17,2024-06-19,First Class
ORD-10009,CUST-1272,REG-01,Ohio,Cleveland,2025-06-24,2025-07-01,Standard Class
ORD-10010,CUST-2731,REG-02,Colorado,Denver,2024-08-26,2024-08-30,Second Class
ORD-10011,CUST-2296,REG-03,North Carolina,Charlotte,2025-08-18,2025-08-19,First Class
ORD-10012,CUST-1049,REG-03,Texas,Houston,2024-09-25,2024-09-29,Standard Class
ORD-10013,CUST-1390,REG-03,Virginia,Richmond,2025-10-12,2025-10-15,Second Class
ORD-10014,CUST-2860,REG-04,Indiana,Indianapolis,2025-04-28,2025-04-28,Same Day
ORD-10015,CUST-1838,REG-03,Virginia,Richmond,2024-10-01,2024-10-06,Standard Class
ORD-10016,CUST-2867,REG-04,Wisconsin,Milwaukee,2024-06-10,2024-06-17,Standard Class
ORD-10017,CUST-2732,REG-03,Georgia,Atlanta,2025-02-04,2025-02-08,Standard Class
ORD-10018,CUST-1290,REG-02,Arizona,Phoenix,2024-06-11,2024-06-13,First Class
ORD-10019,CUST-1889,REG-03,Virginia,Richmond,2024-10-03,2024-10-07,Second Class
ORD-10020,CUST-1853,REG-01,Massachusetts,Boston,2024-07-25,2024-08-01,Standard Class
ORD-10021,CUST-1589,REG-01,New York,New York,2024-12-02,2024-12-04,Second Class
ORD-10022,CUST-2652,REG-02,Arizona,Phoenix,2025-09-19,2025-09-23,Standard Class
ORD-10023,CUST-2857,REG-02,Oregon,Portland,2024-07-20,2024-07-26,Standard Class
ORD-10024,CUST-1122,REG-01,New Jersey,Newark,2024-07-21,2024-07-24,Second Class
ORD-10025,CUST-1096,REG-03,North Carolina,Charlotte,2025-08-03,2025-08-07,Standard Class
ORD-10026,CUST-2842,REG-03,Florida,Miami,2024-03-23,2024-03-25,Second Class
ORD-10027,CUST-1964,REG-04,Wisconsin,Milwaukee,2025-03-20,2025-03-24,Standard Class
ORD-10028,CUST-1856,REG-03,Georgia,Atlanta,2025-06-23,2025-06-26,Second Class
ORD-10029,CUST-1306,REG-04,Michigan,Detroit,2024-10-20,2024-10-24,Standard Class
ORD-10030,CUST-2367,REG-03,North Carolina,Charlotte,2024-01-09,2024-01-15,Standard Class
ORD-10031,CUST-1369,REG-02,Oregon,Portland,2025-04-27,2025-04-29,Second Class
ORD-10032,CUST-1689,REG-02,Washington,Seattle,2025-05-24,2025-05-26,First Class
ORD-10033,CUST-2445,REG-03,Florida,Miami,2024-01-06,2024-01-09,Second Class
ORD-10034,CUST-1918,REG-01,New Jersey,Newark,2025-02-22,2025-02-26,Second Class
ORD-10035,CUST-1596,REG-04,Indiana,Indianapolis,2025-04-07,2025-04-11,Standard Class
ORD-10036,CUST-1323,REG-03,Florida,Miami,2024-05-15,2024-05-21,Standard Class
ORD-10037,CUST-1310,REG-02,Arizona,Phoenix,2024-08-22,2024-08-23,First Class
ORD-10038,CUST-1388,REG-04,Michigan,Detroit,2024-10-19,2024-10-26,Standard Class
ORD-10039,CUST-2841,REG-04,Minnesota,Minneapolis,2024-07-08,2024-07-12,Standard Class
ORD-10040,CUST-1085,REG-01,Ohio,Cleveland,2026-03-10,2026-03-16,Standard Class
ORD-10041,CUST-1799,REG-03,Virginia,Richmond,2025-10-08,2025-10-14,Standard Class
ORD-10042,CUST-1024,REG-02,Washington,Seattle,2026-04-29,2026-05-01,Second Class
ORD-10043,CUST-2129,REG-01,Massachusetts,Boston,2024-07-15,2024-07-21,Standard Class
ORD-10044,CUST-2638,REG-01,New Jersey,Newark,2026-05-28,2026-06-01,Standard Class
ORD-10045,CUST-2710,REG-02,Washington,Seattle,2026-02-10,2026-02-15,Standard Class
ORD-10046,CUST-1634,REG-03,Georgia,Atlanta,2024-07-22,2024-07-23,First Class
ORD-10047,CUST-2346,REG-02,Arizona,Phoenix,2024-01-14,2024-01-20,Standard Class
ORD-10048,CUST-1741,REG-04,Minnesota,Minneapolis,2025-09-03,2025-09-09,Standard Class
ORD-10049,CUST-1470,REG-02,Washington,Seattle,2024-02-29,2024-03-05,Standard Class
ORD-10050,CUST-1743,REG-04,Wisconsin,Milwaukee,2026-05-12,2026-05-18,Standard Class
ORD-10051,CUST-2011,REG-01,Massachusetts,Boston,2024-10-30,2024-11-03,Standard Class
ORD-10052,CUST-1773,REG-03,Florida,Miami,2024-04-20,2024-04-26,Standard Class
ORD-10053,CUST-1185,REG-02,California,Los Angeles,2025-02-18,2025-02-22,Standard Class
ORD-10054,CUST-2254,REG-01,Ohio,Cleveland,2025-01-26,2025-01-31,Standard Class
ORD-10055,CUST-1252,REG-01,Pennsylvania,Philadelphia,2025-03-14,2025-03-19,Standard Class
ORD-10056,CUST-1344,REG-02,Oregon,Portland,2024-01-04,2024-01-09,Standard Class
ORD-10057,CUST-2600,REG-04,Wisconsin,Milwaukee,2024-05-10,2024-05-17,Standard Class
ORD-10058,CUST-1638,REG-01,Pennsylvania,Philadelphia,2025-10-11,2025-10-18,Standard Class
ORD-10059,CUST-1539,REG-03,Texas,Austin,2024-07-11,2024-07-14,Second Class
ORD-10060,CUST-1747,REG-04,Illinois,Chicago,2025-03-30,2025-04-04,Standard Class
ORD-10061,CUST-1380,REG-04,Illinois,Chicago,2025-07-06,2025-07-10,Standard Class
ORD-10062,CUST-2764,REG-04,Wisconsin,Milwaukee,2025-08-16,2025-08-21,Standard Class
ORD-10063,CUST-1812,REG-03,Florida,Miami,2026-05-26,2026-06-02,Standard Class
ORD-10064,CUST-1573,REG-04,Minnesota,Minneapolis,2024-08-02,2024-08-06,Standard Class
ORD-10065,CUST-2633,REG-01,New Jersey,Newark,2024-09-10,2024-09-14,Standard Class
ORD-10066,CUST-2702,REG-02,Colorado,Denver,2025-04-13,2025-04-15,First Class
ORD-10067,CUST-1472,REG-02,Arizona,Phoenix,2024-05-29,2024-05-30,First Class
ORD-10068,CUST-2298,REG-02,California,San Francisco,2025-01-12,2025-01-18,Standard Class
ORD-10069,CUST-2872,REG-04,Illinois,Chicago,2025-04-08,2025-04-15,Standard Class
ORD-10070,CUST-1492,REG-02,California,Los Angeles,2024-03-30,2024-04-06,Standard Class
ORD-10071,CUST-2586,REG-01,Pennsylvania,Philadelphia,2025-03-12,2025-03-17,Standard Class
ORD-10072,CUST-1073,REG-03,Georgia,Atlanta,2024-01-05,2024-01-09,Standard Class
ORD-10073,CUST-1406,REG-01,Ohio,Cleveland,2025-10-28,2025-11-02,Standard Class
ORD-10074,CUST-1236,REG-02,California,Los Angeles,2025-02-02,2025-02-07,Standard Class
ORD-10075,CUST-1293,REG-01,New York,New York,2024-04-12,2024-04-19,Standard Class
ORD-10076,CUST-2421,REG-02,California,San Francisco,2025-06-08,2025-06-14,Standard Class
ORD-10077,CUST-2008,REG-04,Illinois,Chicago,2024-05-03,2024-05-10,Standard Class
ORD-10078,CUST-1648,REG-03,Virginia,Richmond,2025-03-05,2025-03-12,Standard Class
ORD-10079,CUST-1868,REG-01,Pennsylvania,Philadelphia,2024-10-18,2024-10-24,Standard Class
ORD-10080,CUST-1403,REG-02,Colorado,Denver,2024-01-11,2024-01-15,Standard Class
ORD-10081,CUST-1020,REG-04,Illinois,Chicago,2024-04-04,2024-04-06,Second Class
ORD-10082,CUST-1014,REG-03,Virginia,Richmond,2025-05-22,2025-05-29,Standard Class
ORD-10083,CUST-1938,REG-04,Indiana,Indianapolis,2024-08-12,2024-08-19,Standard Class
ORD-10084,CUST-1806,REG-01,Pennsylvania,Philadelphia,2026-03-25,2026-03-31,Standard Class
ORD-10085,CUST-2921,REG-04,Michigan,Detroit,2025-08-26,2025-08-30,Standard Class
ORD-10086,CUST-2206,REG-02,Colorado,Denver,2024-04-26,2024-05-03,Standard Class
ORD-10087,CUST-1617,REG-04,Michigan,Detroit,2025-08-10,2025-08-10,Same Day
